"","ISCO.08.Code","Title.EN","Oesch.Class"
"1","1","Managers",9
"2","11","Chief executives, senior officials and legislators",9
"3","111","Legislators and senior officials",9
"4","1111","Legislators",9
"5","1112","Senior government officials",9
"6","1113","Traditional chiefs and heads of village",9
"7","1114","Senior officials of special-interest organizations",9
"8","112","Managing directors and chief executives",9
"9","1120","Managing directors and chief executives",9
"10","12","Administrative and commercial managers",9
"11","121","Business services and administration managers",9
"12","1211","Finance managers",9
"13","1212","Human resource managers",9
"14","1213","Policy and planning managers",9
"15","1219","Business services and administration managers not elsewhere classified",9
"16","122","Sales, marketing and development managers",9
"17","1221","Sales and marketing managers",9
"18","1222","Advertising and public relations managers",9
"19","1223","Research and development managers",9
"20","13","Production and specialised services managers",9
"21","131","Production managers in agriculture, forestry and fisheries",10
"22","1311","Agricultural and forestry production managers",10
"23","1312","Aquaculture and fisheries production managers",10
"24","132","Manufacturing, mining, construction, and distribution managers",9
"25","1321","Manufacturing managers",9
"26","1322","Mining managers",9
"27","1323","Construction managers",9
"28","1324","Supply, distribution and related managers",9
"29","133","Information and communications technology service managers",9
"30","1330","Information and communications technology service managers",9
"31","134","Professional services managers",9
"32","1341","Child care services managers",9
"33","1342","Health services managers",9
"34","1343","Aged care services managers",9
"35","1344","Social welfare managers",9
"36","1345","Education managers",9
"37","1346","Financial and insurance services branch managers",9
"38","1349","Professional services managers not elsewhere classified",9
"39","14","Hospitality, retail and other services managers",10
"40","141","Hotel and restaurant managers",10
"41","1411","Hotel managers",10
"42","1412","Restaurant managers",10
"43","142","Retail and wholesale trade managers",10
"44","1420","Retail and wholesale trade managers",10
"45","143","Other services managers",10
"46","1431","Sports, recreation and cultural centre managers",10
"47","1439","Services managers not elsewhere classified",10
"48","2","Professionals",NA
"49","21","Science and engineering professionals",5
"50","211","Physical and earth science professionals",5
"51","2111","Physicists and astronomers",5
"52","2112","Meteorologists",5
"53","2113","Chemists",5
"54","2114","Geologists and geophysicists",5
"55","212","Mathematicians, actuaries and statisticians",5
"56","2120","Mathematicians, actuaries and statisticians",5
"57","213","Life science professionals",5
"58","2131","Biologists, botanists, zoologists and related professionals",5
"59","2132","Farming, forestry and fisheries advisers",5
"60","2133","Environmental protection professionals",5
"61","214","Engineering professionals (excluding electrotechnology)",5
"62","2141","Industrial and production engineers",5
"63","2142","Civil engineers",5
"64","2143","Environmental engineers",5
"65","2144","Mechanical engineers",5
"66","2145","Chemical engineers",5
"67","2146","Mining engineers, metallurgists and related professionals",5
"68","2149","Engineering professionals not elsewhere classified",5
"69","215","Electrotechnology engineers",5
"70","2151","Electrical engineers",5
"71","2152","Electronics engineers",5
"72","2153","Telecommunications engineers",5
"73","216","Architects, planners, surveyors and designers",5
"74","2161","Building architects",5
"75","2162","Landscape architects",5
"76","2163","Product and garment designers",14
"77","2164","Town and traffic planners",5
"78","2165","Cartographers and surveyors",5
"79","2166","Graphic and multimedia designers",14
"80","22","Health professionals",13
"81","221","Medical doctors",13
"82","2211","Generalist medical practitioners",13
"83","2212","Specialist medical practitioners",13
"84","222","Nursing and midwifery professionals",14
"85","2221","Nursing professionals",14
"86","2222","Midwifery professionals",14
"87","223","Traditional and complementary medicine professionals",14
"88","2230","Traditional and complementary medicine professionals",14
"89","224","Paramedical practitioners",14
"90","2240","Paramedical practitioners",14
"91","225","Veterinarians",13
"92","2250","Veterinarians",13
"93","226","Other health professionals",14
"94","2261","Dentists",13
"95","2262","Pharmacists",13
"96","2263","Environmental and occupational health and hygiene professionals",14
"97","2264","Physiotherapists",14
"98","2265","Dieticians and nutritionists",14
"99","2266","Audiologists and speech therapists",14
"100","2267","Optometrists and ophthalmic opticians",14
"101","2269","Health professionals not elsewhere classified",14
"102","23","Teaching professionals",13
"103","231","University and higher education teachers",13
"104","2310","University and higher education teachers",13
"105","232","Vocational education teachers",13
"106","2320","Vocational education teachers",13
"107","233","Secondary education teachers",13
"108","2330","Secondary education teachers",13
"109","234","Primary school and early childhood teachers",14
"110","2341","Primary school teachers",14
"111","2342","Early childhood educators",14
"112","235","Other teaching professionals",13
"113","2351","Education methods specialists",13
"114","2352","Special needs teachers",13
"115","2353","Other language teachers",14
"116","2354","Other music teachers",14
"117","2355","Other arts teachers",14
"118","2356","Information technology trainers",14
"119","2359","Teaching professionals not elsewhere classified",13
"120","24","Business and administration professionals",9
"121","241","Finance professionals",9
"122","2411","Accountants",9
"123","2412","Financial and investment advisers",9
"124","2413","Financial analysts",9
"125","242","Administration professionals",9
"126","2421","Management and organization analysts",9
"127","2422","Policy administration professionals",9
"128","2423","Personnel and careers professionals",9
"129","2424","Training and staff development professionals",9
"130","243","Sales, marketing and public relations professionals",9
"131","2431","Advertising and marketing professionals",9
"132","2432","Public relations professionals",9
"133","2433","Technical and medical sales professionals (excluding ICT)",10
"134","2434","Information and communications technology sales professionals",10
"135","25","Information and communications technology professionals",5
"136","251","Software and applications developers and analysts",5
