"","ISCO.08.Code","Title.EN","Oesch.Class"
"137","2511","Systems analysts",5
"138","2512","Software developers",5
"139","2513","Web and multimedia developers",5
"140","2514","Applications programmers",5
"141","2519","Software and applications developers and analysts not elsewhere classified",5
"142","252","Database and network professionals",5
"143","2521","Database designers and administrators",5
"144","2522","Systems administrators",5
"145","2523","Computer network professionals",5
"146","2529","Database and network professionals not elsewhere classified",5
"147","26","Legal, social and cultural professionals",13
"148","261","Legal professionals",9
"149","2611","Lawyers",9
"150","2612","Judges",9
"151","2619","Legal professionals not elsewhere classified",9
"152","262","Librarians, archivists and curators",14
"153","2621","Archivists and curators",13
"154","2622","Librarians and related information professionals",14
"155","263","Social and religious professionals",13
"156","2631","Economists",9
"157","2632","Sociologists, anthropologists and related professionals",13
"158","2633","Philosophers, historians and political scientists",13
"159","2634","Psychologists",13
"160","2635","Social work and counselling professionals",14
"161","2636","Religious professionals",13
"162","264","Authors, journalists and linguists",13
"163","2641","Authors and related writers",14
"164","2642","Journalists",13
"165","2643","Translators, interpreters and other linguists",13
"166","265","Creative and performing artists",14
"167","2651","Visual artists",14
"168","2652","Musicians, singers and composers",14
"169","2653","Dancers and choreographers",14
"170","2654","Film, stage and related directors and producers",14
"171","2655","Actors",14
"172","2656","Announcers on radio, television and other media",14
"173","2659","Creative and performing artists not elsewhere classified",14
"174","3","Technicians and associate professionals",NA
"175","31","Science and engineering associate professionals",6
"176","311","Physical and engineering science technicians",6
"177","3111","Chemical and physical science technicians",6
"178","3112","Civil engineering technicians",6
"179","3113","Electrical engineering technicians",6
"180","3114","Electronics engineering technicians",6
"181","3115","Mechanical engineering technicians",6
"182","3116","Chemical engineering technicians",6
"183","3117","Mining and metallurgical technicians",6
"184","3118","Draughtspersons",6
"185","3119","Physical and engineering science technicians not elsewhere classified",6
"186","312","Mining, manufacturing and construction supervisors",6
"187","3121","Mining supervisors",6
"188","3122","Manufacturing supervisors",6
"189","3123","Construction supervisors",6
"190","313","Process control technicians",6
"191","3131","Power production plant operators",6
"192","3132","Incinerator and water treatment plant operators",6
"193","3133","Chemical processing plant controllers",6
"194","3134","Petroleum and natural gas refining plant operators",6
"195","3135","Metal production process controllers",6
"196","3139","Process control technicians not elsewhere classified",6
"197","314","Life science technicians and related associate professionals",6
"198","3141","Life science technicians (excluding medical)",6
"199","3142","Agricultural technicians",6
"200","3143","Forestry technicians",6
"201","315","Ship and aircraft controllers and technicians",6
"202","3151","Ships' engineers",6
"203","3152","Ships' deck officers and pilots",6
"204","3153","Aircraft pilots and related associate professionals",6
"205","3154","Air traffic controllers",6
"206","3155","Air traffic safety electronics technicians",6
"207","32","Health associate professionals",14
"208","321","Medical and pharmaceutical technicians",6
"209","3211","Medical imaging and therapeutic equipment technicians",6
"210","3212","Medical and pathology laboratory technicians",6
"211","3213","Pharmaceutical technicians and assistants",6
"212","3214","Medical and dental prosthetic technicians",6
"213","322","Nursing and midwifery associate professionals",14
"214","3221","Nursing associate professionals",14
"215","3222","Midwifery associate professionals",14
"216","323","Traditional and complementary medicine associate professionals",14
"217","3230","Traditional and complementary medicine associate professionals",14
"218","324","Veterinary technicians and assistants",15
"219","3240","Veterinary technicians and assistants",15
"220","325","Other health associate professionals",14
"221","3251","Dental assistants and therapists",15
"222","3252","Medical records and health information technicians",6
"223","3253","Community health workers",14
"224","3254","Dispensing opticians",14
"225","3255","Physiotherapy technicians and assistants",14
"226","3256","Medical assistants",14
"227","3257","Environmental and occupational health inspectors and associates",14
"228","3258","Ambulance workers",15
"229","3259","Health associate professionals not elsewhere classified",14
"230","33","Business and administration associate professionals",10
"231","331","Financial and mathematical associate professionals",10
"232","3311","Securities and finance dealers and brokers",10
"233","3312","Credit and loans officers",10
"234","3313","Accounting associate professionals",10
"235","3314","Statistical, mathematical and related associate professionals",10
"236","3315","Valuers and loss assessors",10
"237","332","Sales and purchasing agents and brokers",10
"238","3321","Insurance representatives",10
"239","3322","Commercial sales representatives",10
"240","3323","Buyers",10
"241","3324","Trade brokers",10
"242","333","Business services agents",10
"243","3331","Clearing and forwarding agents",10
"244","3332","Conference and event planners",10
"245","3333","Employment agents and contractors",10
"246","3334","Real estate agents and property managers",10
"247","3339","Business services agents not elsewhere classified",10
"248","334","Administrative and specialised secretaries",11
"249","3341","Office supervisors",11
"250","3342","Legal secretaries",11
"251","3343","Administrative and executive secretaries",10
"252","3344","Medical secretaries",11
"253","335","Regulatory government associate professionals",10
"254","3351","Customs and border inspectors",10
"255","3352","Government tax and excise officials",10
"256","3353","Government social benefits officials",10
"257","3354","Government licensing officials",10
"258","3355","Police inspectors and detectives",10
"259","3359","Regulatory government associate professionals not elsewhere classified",10
"260","34","Legal, social, cultural and related associate professionals",14
"261","341","Legal, social and religious associate professionals",14
"262","3411","Police inspectors and detectives",10
"263","3412","Social work associate professionals",14
"264","3413","Religious associate professionals",14
"265","342","Sports and fitness workers",15
"266","3421","Athletes and sports players",15
"267","3422","Sports coaches, instructors and officials",15
"268","3423","Fitness and recreation instructors and program leaders",15
"269","343","Artistic, cultural and culinary associate professionals",14
"270","3431","Photographers",14
"271","3432","Interior designers and decorators",14
"272","3433","Gallery, museum and library technicians",14
"273","3434","Chefs",15
"274","3435","Other artistic and cultural associate professionals",14
"275","35","Information and communications technicians",6
"276","351","Information and communications technology operations and user support technicians",6
"277","3511","Information and communications technology operations technicians",6
"278","3512","Information and communications technology user support technicians",6
"279","3513","Computer network and systems technicians",6
"280","3514","Web technicians",6
"281","352","Telecommunications and broadcasting technicians",6
"282","3521","Broadcasting and audio-visual technicians",6
"283","3522","Telecommunications engineering technicians",6
"284","4","Clerical support workers",11
"285","41","General and keyboard clerks",11
"286","411","General office clerks",11
"287","4110","General office clerks",11
"288","412","Secretaries (general)",11
"289","4120","Secretaries (general)",11
"290","413","Keyboard operators",11
"291","4131","Typists and word processing operators",11
"292","4132","Data entry clerks",12
"293","42","Customer services clerks",11
"294","421","Tellers, money collectors and related clerks",11
"295","4211","Bank tellers and related clerks",11
"296","4212","Bookmakers, croupiers and related gaming workers",11
"297","4213","Pawnbrokers and money-lenders",11
"298","4214","Debt-collectors and related workers",11
"299","422","Client information workers",11
"300","4221","Travel consultants and clerks",11
"301","4222","Contact centre information clerks",12
"302","4223","Telephone switchboard operators",12
"303","4224","Hotel receptionists",11
"304","4225","Enquiry clerks",11
"305","4226","Receptionists (general)",11
"306","4227","Survey and market research interviewers",11
"307","4229","Client information workers not elsewhere classified",11
"308","43","Numerical and material recording clerks",11
"309","431","Numerical clerks",11
"310","4311","Accounting and bookkeeping clerks",11
"311","4312","Statistical, finance and insurance clerks",11
"312","4313","Payroll clerks",11
"313","432","Material-recording and transport clerks",11
"314","4321","Stock clerks",11
"315","4322","Production clerks",11
"316","4323","Transport clerks",11
"317","44","Other clerical support workers",11
"318","441","Other clerical support workers",11
"319","4411","Library clerks",11
"320","4412","Mail carriers and sorting clerks",11
"321","4413","Coding, proof-reading and related clerks",11
"322","4414","Scribes and related workers",14
"323","4415","Filing and copying clerks",11
"324","4416","Personnel clerks",11
"325","4419","Clerical support workers not elsewhere classified",11
"326","5","Service and sales workers",15
"327","51","Personal service workers",15
"328","511","Travel attendants, conductors and guides",15
"329","5111","Travel attendants and travel stewards",15
"330","5112","Transport conductors",15
"331","5113","Travel guides",15
"332","512","Cooks",15
"333","5120","Cooks",15
"334","513","Waiters and bartenders",16
"335","5131","Waiters",16
"336","5132","Bartenders",16
"337","514","Hairdressers, beauticians and related workers",15
"338","5141","Hairdressers",15
"339","5142","Beauticians and related workers",15
"340","515","Building and housekeeping supervisors",16
"341","5151","Cleaning and housekeeping supervisors in offices, hotels and other establishments",16
"342","5152","Domestic housekeepers",16
"343","5153","Building caretakers",16
"344","516","Other personal services workers",16
"345","5161","Astrologers, fortune-tellers and related workers",16
"346","5162","Companions and valets",16
"347","5163","Undertakers and embalmers",15
"348","5164","Pet groomers and animal care workers",16
"349","5165","Driving instructors",15
"350","5169","Personal services workers not elsewhere classified",16
"351","52","Sales workers",15
"352","521","Street and market salespersons",16
"353","5211","Stall and market salespersons",16
"354","5212","Street food salespersons",16
"355","522","Shop salespersons",15
"356","5221","Shop keepers",10
"357","5222","Shop supervisors",15
"358","5223","Shop sales assistants",15
"359","523","Cashiers and ticket clerks",12
"360","5230","Cashiers and ticket clerks",12
"361","524","Other sales workers",16
"362","5241","Fashion and other models",15
"363","5242","Sales demonstrators",15
"364","5243","Door to door salespersons",16
"365","5244","Contact centre salespersons",16
"366","5245","Service station attendants",16
"367","5246","Food service counter attendants",16
"368","5249","Sales workers not elsewhere classified",16
"369","53","Personal care workers",15
"370","531","Child care workers and teachers' aides",15
"371","5311","Child care workers",15
"372","5312","Teachers' aides",15
"373","532","Personal care workers in health services",15
"374","5321","Health care assistants",15
"375","5322","Home-based personal care workers",16
"376","5329","Personal care workers in health services not elsewhere classified",16
"377","54","Protective services workers",15
"378","541","Protective services workers",15
"379","5411","Fire-fighters",15
"380","5412","Police officers",15
"381","5413","Prison guards",15
"382","5414","Security guards",16
"383","5419","Protective services workers not elsewhere classified",15
"384","6","Skilled agricultural, forestry and fishery workers",7
"385","61","Market-oriented skilled agricultural workers",7
"386","611","Market gardeners and crop growers",7
"387","6111","Field crop and vegetable growers",7
"388","6112","Tree and shrub crop growers",7
"389","6113","Gardeners, horticultural and nursery growers",7
"390","6114","Mixed crop growers",7
"391","612","Animal producers",7
"392","6121","Livestock and dairy producers",7
"393","6122","Poultry producers",7
"394","6123","Apiarists and sericulturists",7
"395","6129","Animal producers not elsewhere classified",7
"396","613","Mixed crop and animal producers",7
"397","6130","Mixed crop and animal producers",7
"398","62","Market-oriented skilled forestry, fishery and hunting workers",7
"399","621","Forestry and related workers",7
"400","6210","Forestry and related workers",7
"401","622","Fishery workers, hunters and trappers",7
"402","6221","Aquaculture workers",7
"403","6222","Inland and coastal waters fishery workers",7
"404","6223","Deep-sea fishery workers",7
"405","6224","Hunters and trappers",7
"406","63","Subsistence farmers, fishers, hunters and gatherers",7
"407","631","Subsistence crop farmers",7
"408","6310","Subsistence crop farmers",7
"409","632","Subsistence livestock farmers",7
"410","6320","Subsistence livestock farmers",7
"411","633","Subsistence mixed crop and livestock farmers",7
"412","6330","Subsistence mixed crop and livestock farmers",7
"413","634","Subsistence fishers, hunters, trappers and gatherers",7
"414","6340","Subsistence fishers, hunters, trappers and gatherers",7
"415","7","Craft and related trades workers",7
"416","71","Building and related trades workers, excluding electricians",7
"417","711","Building frame and related trades workers",7
"418","7111","House builders",7
"419","7112","Bricklayers and related workers",7
"420","7113","Stonemasons, stone cutters, splitters and carvers",7
"421","7114","Concrete placers, concrete finishers and related workers",7
"422","7115","Carpenters and joiners",7
"423","7119","Building frame and related trades workers not elsewhere classified",7
"424","712","Building finishers and related trades workers",7
"425","7121","Roofers",7
"426","7122","Floor layers and tile setters",7
"427","7123","Plasterers",7
"428","7124","Insulation workers",7
"429","7125","Glaziers",7
"430","7126","Plumbers and pipe fitters",7
"431","7127","Air conditioning and refrigeration mechanics",7
"432","713","Painters, building structure cleaners and related trades workers",7
"433","7131","Painters and related workers",7
"434","7132","Spray painters and varnishers",7
"435","7133","Building structure cleaners",7
"436","72","Metal, machinery and related trades workers",7
"437","721","Sheet and structural metal workers, moulders and welders, and related workers",7
"438","7211","Metal moulders and coremakers",7
"439","7212","Welders and flamecutters",7
"440","7213","Sheet-metal workers",7
"441","7214","Structural-metal preparers and erectors",7
"442","7215","Riggers and cable splicers",7
"443","722","Blacksmiths, toolmakers and related trades workers",7
"444","7221","Blacksmiths, hammersmiths and forging press workers",7
"445","7222","Toolmakers and related workers",7
"446","7223","Metal working machine tool setters and operators",7
"447","7224","Metal polishers, wheel grinders and tool sharpeners",7
"448","723","Machinery mechanics and repairers",7
"449","7231","Motor vehicle mechanics and repairers",7
"450","7232","Aircraft engine mechanics and repairers",7
"451","7233","Agricultural and industrial machinery mechanics and repairers",7
"452","7234","Bicycle and related repairers",7
"453","73","Handicraft and printing workers",7
"454","731","Handicraft workers",7
"455","7311","Precision-instrument makers and repairers",7
"456","7312","Musical instrument makers and tuners",7
"457","7313","Jewellery and precious-metal workers",7
"458","7314","Potters and related workers",7
"459","7315","Glass makers, cutters, grinders and finishers",7
"460","7316","Sign writers, decorative painters, engravers and etchers",7
"461","7317","Handicraft workers in wood, basketry and related materials",7
"462","7318","Handicraft workers in textile, leather and related materials",7
"463","7319","Handicraft workers not elsewhere classified",7
"464","732","Printing trades workers",7
"465","7321","Pre-press technicians",7
"466","7322","Printers",7
"467","7323","Print finishing and binding workers",7
"468","74","Electrical and electronic trades workers",7
"469","741","Electrical equipment installers and repairers",7
"470","7411","Building and related electricians",7
"471","7412","Electrical mechanics and fitters",7
"472","7413","Electrical line installers and repairers",7
"473","742","Electronics and telecommunications installers and repairers",7
"474","7421","Electronics mechanics and servicers",7
"475","7422","Information and communications technology installers and servicers",7
"476","75","Food processing, wood working, garment and other craft and related trades workers",7
"477","751","Food processing and related trades workers",7
"478","7511","Butchers, fishmongers and related food preparers",7
"479","7512","Bakers, pastry-cooks and confectionery makers",7
"480","7513","Dairy-products makers",7
"481","7514","Fruit, vegetable and related preservers",7
"482","7515","Food and beverage tasters and graders",7
"483","7516","Tobacco preparers and tobacco products makers",7
"484","752","Wood treaters, cabinet-makers and related trades workers",7
"485","7521","Wood treaters",7
"486","7522","Cabinet-makers and related workers",7
"487","7523","Woodworking-machine tool setters and operators",7
"488","753","Garment and related trades workers",7
"489","7531","Tailors, dressmakers, furriers and hatters",7
"490","7532","Garment and related pattern-makers and cutters",7
"491","7533","Sewing, embroidery and related workers",7
"492","7534","Upholsterers and related workers",7
"493","7535","Pelt dressers, tanners and fellmongers",7
"494","7536","Shoemakers and related workers",7
"495","754","Other craft and related workers",7
"496","7541","Underwater divers",7
"497","7542","Shotfirers and blasters",7
"498","7543","Product graders and testers (excluding foods and beverages)",7
"499","7544","Fumigators and other pest and weed controllers",7
"500","7549","Craft and related workers not elsewhere classified",7
"501","8","Plant and machine operators, and assemblers",8
"502","81","Stationary plant and machine operators",8
"503","811","Mining and mineral processing plant operators",8
"504","8111","Miners and quarriers",8
"505","8112","Mineral and stone processing plant operators",8
"506","8113","Well drillers and borers and related workers",8
"507","8114","Cement, stone and other mineral products machine operators",8
"508","812","Metal processing and finishing plant operators",8
"509","8121","Metal processing plant operators",8
"510","8122","Metal finishing, plating and coating machine operators",8
"511","813","Chemical and photographic products plant and machine operators",8
"512","8131","Chemical products plant and machine operators",8
"513","8132","Photographic products machine operators",8
"514","814","Rubber, plastic and paper products machine operators",8
"515","8141","Rubber products machine operators",8
"516","8142","Plastic products machine operators",8
"517","8143","Paper products machine operators",8
"518","815","Textile, fur and leather products machine operators",8
"519","8151","Fibre preparing, spinning and winding machine operators",8
"520","8152","Weaving and knitting machine operators",8
"521","8153","Sewing machine operators",8
"522","8154","Bleaching, dyeing and fabric cleaning machine operators",8
"523","8155","Fur and leather preparing machine operators",8
"524","8156","Shoemaking and related machine operators",8
"525","8157","Laundry machine operators",8
"526","8159","Textile, fur and leather products machine operators not elsewhere classified",8
"527","816","Food and related products machine operators",8
"528","8160","Food and related products machine operators",8
"529","817","Wood processing and papermaking plant operators",8
"530","8171","Pulp and papermaking plant operators",8
"531","8172","Wood processing plant operators",8
"532","818","Other stationary plant and machine operators",8
"533","8181","Glass and ceramics plant operators",8
"534","8182","Steam engine and boiler operators",8
"535","8183","Packing, bottling and labelling machine operators",8
"536","8189","Stationary plant and machine operators not elsewhere classified",8
"537","82","Assemblers",8
"538","821","Assemblers",8
"539","8211","Mechanical machinery assemblers",8
"540","8212","Electrical and electronic equipment assemblers",8
"541","8219","Assemblers not elsewhere classified",8
"542","83","Drivers and mobile plant operators",8
"543","831","Locomotive engine drivers and related workers",7
"544","8311","Locomotive engine drivers",7
"545","8312","Railway brake, signal and switch operators",7
"546","832","Car, van and motorcycle drivers",8
"547","8321","Motorcycle drivers",8
"548","8322","Car, taxi and van drivers",16
"549","833","Heavy truck and bus drivers",7
"550","8331","Bus and tram drivers",15
"551","8332","Heavy truck and lorry drivers",7
"552","834","Mobile plant operators",7
"553","8341","Mobile farm and forestry plant operators",8
"554","8342","Earthmoving and related plant operators",7
"555","8343","Crane, hoist and related plant operators",7
"556","8344","Lifting truck operators",7
"557","835","Ships' deck crews and related workers",8
"558","8350","Ships' deck crews and related workers",8
"559","9","Elementary occupations",NA
"560","91","Cleaners and helpers",16
"561","911","Domestic, hotel and office cleaners and helpers",16
"562","9111","Domestic cleaners and helpers",16
"563","9112","Cleaners and helpers in offices, hotels and other establishments",16
"564","912","Vehicle, window, laundry and other hand cleaning workers",16
"565","9121","Hand launderers and pressers",16
"566","9122","Vehicle cleaners",16
"567","9123","Window cleaners",16
"568","9129","Other cleaning workers",16
"569","92","Agricultural, forestry and fishery labourers",8
"570","921","Agricultural, forestry and fishery labourers",8
"571","9211","Crop farm labourers",8
"572","9212","Livestock farm labourers",8
"573","9213","Mixed crop and livestock farm labourers",8
"574","9214","Garden and horticultural labourers",8
"575","9215","Forestry labourers",8
"576","9216","Fishery and aquaculture labourers",8
"577","93","Labourers in mining, construction, manufacturing and transport",8
"578","931","Mining and construction labourers",8
"579","9311","Mining and quarrying labourers",8
"580","9312","Civil engineering labourers",8
"581","9313","Building construction labourers",8
"582","932","Manufacturing labourers",8
"583","9321","Hand packers",8
"584","9329","Manufacturing labourers not elsewhere classified",8
"585","933","Transport and storage labourers",8
"586","9331","Hand and pedal vehicle drivers",8
"587","9332","Drivers of animal-drawn vehicles and machinery",8
"588","9333","Freight handlers",8
"589","9334","Shelf fillers",8
"590","94","Food preparation assistants",16
"591","941","Food preparation assistants",16
"592","9411","Fast food preparers",16
"593","9412","Kitchen helpers",16
"594","95","Street and related sales and service workers",16
"595","951","Street and related service workers",16
"596","9510","Street and related service workers",16
"597","952","Street vendors (excluding food)",16
"598","9520","Street vendors (excluding food)",16
"599","96","Refuse workers and other elementary workers",8
"600","961","Refuse workers",8
"601","9611","Garbage and recycling collectors",8
"602","9612","Refuse sorters",8
"603","9613","Sweepers and related labourers",8
"604","962","Other elementary workers",8
"605","9621","Messengers, package deliverers and luggage porters",12
"606","9622","Odd job persons",8
"607","9623","Meter readers and vending-machine collectors",8
"608","9624","Water and firewood collectors",8
"609","9629","Elementary workers not elsewhere classified",8
"610","0","Armed forces occupations",NA
"611","1","Commissioned armed forces officers",9
"612","11","Commissioned armed forces officers",9
"613","110","Commissioned armed forces officers",9
"614","2","Non-commissioned armed forces officers",10
"615","21","Non-commissioned armed forces officers",10
"616","210","Non-commissioned armed forces officers",10
"617","3","Armed forces occupations, other ranks",NA
"618","31","Armed forces occupations, other ranks",NA
"619","310","Armed forces occupations, other ranks",NA
